iter	Passed	Remaining
0	0	60
1	1	55
2	1	52
3	1	47
4	2	48
5	2	46
6	3	46
7	3	45
8	4	44
9	4	44
10	5	44
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	41
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	24	23
52	25	22
53	25	22
54	26	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	18
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	9
79	37	9
80	38	9
81	38	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	46	0
