iter	Passed	Remaining
0	149	149114
1	149	74842
2	150	50042
3	151	37634
4	151	30195
5	152	25211
6	152	21653
7	153	18983
8	153	16907
9	153	15244
10	154	13885
11	154	12753
12	155	11794
13	155	10971
14	156	10259
15	156	9635
16	157	9085
17	157	8596
18	158	8158
19	158	7763
20	158	7407
21	159	7083
22	159	6787
23	160	6515
24	160	6266
25	161	6035
26	161	5821
27	161	5623
28	162	5438
29	162	5266
30	163	5105
31	163	4957
32	164	4818
33	164	4685
34	165	4561
35	165	4444
36	166	4332
37	167	4229
38	167	4129
39	168	4034
40	168	3947
41	169	3862
42	169	3778
43	170	3699
44	170	3624
45	171	3551
46	171	3481
47	172	3414
48	172	3350
49	173	3288
50	173	3228
51	173	3170
52	174	3115
53	174	3062
54	175	3011
55	175	2961
56	176	2913
57	176	2867
58	176	2822
59	177	2779
60	177	2739
61	178	2702
62	179	2665
63	179	2629
64	180	2594
65	180	2559
66	181	2525
67	181	2492
68	182	2460
69	182	2429
70	183	2398
71	183	2368
72	184	2339
73	184	2311
74	185	2283
75	185	2256
76	186	2229
77	186	2203
78	186	2178
79	187	2154
80	187	2130
81	188	2106
82	188	2081
83	188	2059
84	189	2037
85	189	2018
86	190	1998
87	190	1979
88	191	1959
89	191	1940
90	192	1921
91	192	1904
92	193	1886
93	193	1869
94	194	1852
95	195	1836
96	195	1821
97	196	1806
98	196	1790
99	197	1775
100	197	1759
101	198	1744
102	198	1729
103	199	1714
104	199	1700
105	199	1686
106	200	1672
107	200	1658
108	201	1645
109	201	1632
110	202	1619
111	202	1606
112	203	1594
113	203	1582
114	204	1570
115	204	1558
116	204	1545
117	205	1534
118	205	1523
119	206	1512
120	206	1502
121	207	1492
122	207	1482
123	208	1472
124	209	1463
125	209	1453
126	209	1442
127	210	1432
128	210	1423
129	211	1413
130	211	1403
131	212	1394
132	212	1385
133	213	1377
134	213	1368
135	214	1359
136	214	1351
137	214	1342
138	215	1334
139	215	1326
140	216	1318
141	216	1309
142	217	1301
143	217	1293
144	218	1285
145	218	1278
146	218	1270
147	219	1262
148	219	1255
149	220	1248
150	220	1241
151	221	1234
152	221	1228
153	222	1221
154	222	1215
155	223	1209
156	223	1202
157	224	1196
158	224	1189
159	225	1183
160	225	1175
161	226	1169
162	226	1163
163	227	1157
164	227	1151
165	227	1145
166	228	1139
167	228	1133
168	229	1127
169	229	1122
170	230	1116
171	230	1110
172	231	1105
173	231	1100
174	232	1094
175	232	1089
176	233	1084
177	233	1078
178	234	1073
179	234	1068
180	234	1063
181	235	1058
182	235	1053
183	236	1048
184	237	1044
185	237	1039
186	238	1035
187	238	1030
188	239	1025
189	239	1021
190	240	1016
191	240	1012
192	241	1008
193	241	1004
194	242	1000
195	242	995
196	243	991
197	243	986
198	244	982
199	244	977
200	244	973
201	245	969
202	245	965
203	246	961
204	246	957
205	247	952
206	247	948
207	248	944
208	248	940
209	249	937
210	249	933
211	250	929
212	250	926
213	251	922
214	251	918
215	252	915
216	252	911
217	253	907
218	253	904
219	254	900
220	254	897
221	255	894
222	255	890
223	256	887
224	256	883
225	257	880
226	257	876
227	257	873
228	258	869
229	258	866
230	259	863
231	259	859
232	260	856
233	260	853
234	261	850
235	261	847
236	262	843
237	262	840
238	262	837
239	263	833
240	263	830
241	264	827
242	264	825
243	265	822
244	266	819
245	266	817
246	267	814
247	267	811
248	267	808
249	268	805
250	268	802
251	269	799
252	269	796
253	270	793
254	270	790
255	270	787
256	271	784
257	271	781
258	272	779
259	272	776
260	273	773
261	273	770
262	274	768
263	274	765
264	274	762
265	275	759
266	275	757
267	276	754
268	276	751
269	277	749
270	277	746
271	278	744
272	278	741
273	279	739
274	279	737
275	280	734
276	280	732
277	281	730
278	281	728
279	282	725
280	282	723
281	283	720
282	283	718
283	284	716
284	284	713
285	284	711
286	285	708
287	285	706
288	286	704
289	286	701
290	287	699
291	287	697
292	288	695
293	288	693
294	289	691
295	289	688
296	290	686
297	290	684
298	291	682
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
306	295	666
307	296	665
308	296	663
309	297	662
310	298	660
311	298	658
312	299	656
313	299	654
314	300	652
315	300	650
316	301	648
317	301	646
318	302	644
319	302	642
320	303	641
321	303	639
322	304	637
323	304	635
324	305	633
325	305	631
326	306	629
327	306	628
328	307	626
329	307	624
330	308	623
331	308	621
332	309	619
333	309	618
334	310	616
335	311	614
336	311	613
337	312	611
338	312	609
339	313	607
340	313	606
341	314	604
342	314	602
343	315	601
344	315	599
345	316	597
346	316	596
347	317	594
348	317	592
349	318	591
350	318	589
351	319	587
352	319	586
353	320	584
354	320	582
355	321	580
356	321	579
357	322	578
358	322	576
359	323	575
360	324	573
361	324	572
362	325	570
363	325	569
364	326	568
365	327	566
366	327	565
367	328	563
368	328	562
369	329	560
370	329	559
371	330	557
372	330	556
373	331	554
374	331	552
375	332	551
376	332	549
377	333	548
378	333	546
379	334	545
380	334	543
381	335	542
382	335	541
383	336	539
384	337	538
385	337	537
386	338	535
387	338	534
388	339	532
389	339	531
390	340	530
391	340	528
392	341	527
393	341	525
394	342	524
395	342	523
396	343	521
397	343	520
398	344	518
399	344	517
400	345	515
401	345	514
402	346	513
403	346	511
404	347	510
405	347	508
406	348	507
407	348	506
408	349	504
409	349	503
410	350	502
411	351	500
412	351	499
413	352	498
414	352	497
415	353	495
416	353	494
417	354	493
418	354	492
419	355	490
420	355	489
421	356	488
422	356	486
423	357	485
424	357	484
425	358	482
426	358	481
427	359	480
428	359	478
429	360	477
430	360	476
431	361	474
432	361	473
433	362	472
434	362	471
435	363	469
436	363	468
437	364	467
438	364	466
439	365	465
440	366	464
441	366	462
442	367	461
443	367	460
444	368	459
445	368	457
446	369	456
447	369	455
448	369	453
449	370	452
450	370	451
451	371	450
452	371	448
453	372	447
454	372	446
455	373	445
456	373	443
457	373	442
458	374	441
459	374	439
460	375	438
461	375	437
462	376	436
463	376	434
464	376	433
465	377	432
466	377	431
467	378	429
468	378	428
469	379	427
470	379	426
471	380	425
472	380	424
473	381	423
474	382	422
475	382	421
476	383	420
477	383	418
478	384	417
479	384	416
480	384	415
481	385	414
482	385	413
483	386	411
484	386	410
485	387	409
486	387	408
487	388	407
488	388	406
489	389	404
490	389	403
491	389	402
492	390	401
493	391	400
494	391	399
495	391	398
496	392	397
497	392	396
